sensor,timestamp,x,y,z
1,53230,0.000000,0.820312,0.566406
2,53241,0.207031,-0.285156,0.902344
3,53252,-0.375000,0.246094,0.816406
1,53263,-0.003906,0.820312,0.566406
2,53274,0.203125,-0.289062,0.898438
3,53285,-0.375000,0.246094,0.816406
1,53296,-0.003906,0.820312,0.570312
2,53307,0.207031,-0.285156,0.902344
3,53318,-0.375000,0.242188,0.812500
1,53329,-0.003906,0.820312,0.570312
2,53340,0.207031,-0.285156,0.894531
3,53351,-0.375000,0.250000,0.812500
1,53362,0.000000,0.820312,0.570312
2,53373,0.203125,-0.285156,0.898438
3,53384,-0.375000,0.246094,0.816406
1,53395,-0.003906,0.816406,0.566406
2,53406,0.210938,-0.285156,0.902344
3,53417,-0.375000,0.246094,0.816406
1,53428,-0.003906,0.824219,0.566406
2,53439,0.210938,-0.289062,0.902344
3,53450,-0.375000,0.246094,0.812500
1,53461,-0.003906,0.820312,0.566406
2,53472,0.203125,-0.289062,0.898438
3,53483,-0.375000,0.246094,0.812500
1,53494,-0.003906,0.816406,0.566406
2,53505,0.207031,-0.285156,0.898438
3,53516,-0.375000,0.246094,0.812500
1,53527,-0.003906,0.824219,0.566406
2,53538,0.207031,-0.285156,0.902344
3,53549,-0.371094,0.246094,0.816406
1,53560,-0.003906,0.820312,0.574219
2,53571,0.210938,-0.289062,0.898438
3,53582,-0.375000,0.246094,0.816406
1,53593,-0.003906,0.820312,0.562500
2,53604,0.207031,-0.285156,0.898438
3,53615,-0.371094,0.246094,0.812500
1,53626,-0.003906,0.816406,0.566406
2,53637,0.207031,-0.285156,0.898438
3,53648,-0.371094,0.246094,0.816406
1,53659,0.000000,0.820312,0.570312
2,53670,0.203125,-0.289062,0.898438
3,53681,-0.371094,0.246094,0.816406
1,53692,0.000000,0.820312,0.566406
2,53703,0.207031,-0.289062,0.902344
3,53714,-0.375000,0.246094,0.812500
1,53725,0.000000,0.820312,0.570312
2,53736,0.207031,-0.289062,0.898438
3,53747,-0.375000,0.242188,0.816406
1,53758,-0.003906,0.820312,0.566406
2,53769,0.210938,-0.285156,0.902344
3,53780,-0.367188,0.250000,0.816406
1,53791,-0.003906,0.820312,0.562500
2,53802,0.203125,-0.285156,0.894531
3,53813,-0.375000,0.246094,0.812500
1,53824,-0.003906,0.820312,0.562500
2,53835,0.207031,-0.285156,0.894531
3,53846,-0.375000,0.250000,0.816406
1,53857,0.000000,0.820312,0.570312
2,53868,0.207031,-0.289062,0.894531
3,53879,-0.378906,0.246094,0.812500
1,53890,0.000000,0.816406,0.562500
2,53901,0.207031,-0.289062,0.902344
3,53912,-0.375000,0.246094,0.812500
1,53923,-0.003906,0.816406,0.566406
2,53934,0.207031,-0.289062,0.902344
3,53945,-0.371094,0.242188,0.816406
1,53956,-0.007812,0.820312,0.566406
2,53967,0.207031,-0.289062,0.902344
3,53978,-0.371094,0.246094,0.812500
1,53989,-0.003906,0.820312,0.570312
2,54000,0.207031,-0.285156,0.898438
3,54011,-0.375000,0.246094,0.812500
1,54022,-0.003906,0.816406,0.566406
2,54033,0.207031,-0.285156,0.902344
3,54044,-0.375000,0.246094,0.812500
1,54055,0.000000,0.816406,0.570312
2,54066,0.210938,-0.285156,0.894531
3,54077,-0.375000,0.246094,0.816406
1,54088,-0.003906,0.820312,0.570312
2,54099,0.207031,-0.289062,0.902344
3,54110,-0.375000,0.246094,0.812500
1,54121,-0.003906,0.820312,0.570312
2,54132,0.207031,-0.281250,0.902344
3,54143,-0.371094,0.250000,0.812500
1,54154,-0.003906,0.820312,0.574219
2,54165,0.203125,-0.285156,0.898438
3,54176,-0.375000,0.250000,0.808594
